time,open,high,low,close,EMA,MA_HL upper,MA_HL lower,Basis,Upper,Lower,Volume,Histogram,MACD,Signal,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2025-03-04T14:59:00-04:00,5827.5,5827.5,5823.25,5824.5,5822.073283,5811.254408,5806.353283,5816.975,5827.541338,5806.408662,5918,0.846227319,5.112777825,4.266550506,66.54644767,64.72661767,NaN,NaN,NaN,NaN
2025-03-04T15:00:00-04:00,5824.25,5826.5,5823.5,5826.25,5822.908626,5811.798894,5806.965666,5817.775,5828.603088,5806.946912,3733,0.735060322,5.185375909,4.450315587,68.50680033,65.28203248,NaN,NaN,NaN,NaN
2025-03-04T15:01:00-04:00,5826.25,5830,5823.75,5828.75,5824.076901,5812.448933,5807.565107,5818.55,5830.162063,5806.937937,4497,0.745821407,5.382592346,4.636770938,71.11120264,65.46260209,NaN,NaN,NaN,NaN
2025-03-04T15:02:00-04:00,5828.75,5839.25,5828.5,5834.25,5826.111521,5813.406114,5808.312781,5819.5,5832.854774,5806.145226,13877,1.022193652,5.914513003,4.892319351,75.84405248,66.38458932,NaN,NaN,NaN,NaN
2025-03-04T15:03:00-04:00,5834.25,5840,5832.5,5838.5,5828.589217,5814.355896,5809.176611,5820.7875,5836.110909,5805.464091,7374,1.36845607,6.602889439,5.234433369,78.74221184,68.01002544,NaN,NaN,NaN,NaN
2025-03-04T15:04:00-04:00,5838.5,5839,5835.5,5837,5830.271373,5815.236043,5810.116732,5821.9875,5838.403555,5805.571445,4285,1.370302091,6.947310983,5.577008892,75.30800582,69.48953977,NaN,NaN,NaN,NaN
2025-03-04T15:05:00-04:00,5837,5840,5835,5837.75,5831.767099,5816.12047,5811.00542,5823.225,5840.455714,5805.994286,5341,1.296644364,7.197814347,5.901169983,75.8745692,70.62675816,NaN,NaN,NaN,NaN
2025-03-04T15:06:00-04:00,5837.75,5841.75,5836.75,5841.25,5833.663679,5817.03581,5811.924869,5824.7,5842.778717,5806.621283,5783,1.35206687,7.591253571,6.2391867,78.36894302,71.71870568,NaN,NaN,NaN,NaN
2025-03-04T15:07:00-04:00,5841.25,5845.75,5840.25,5845,5835.930943,5818.061317,5812.936481,5826.0625,5845.86583,5806.25917,5551,1.498361809,8.112138962,6.613777153,80.67444901,72.82868526,NaN,NaN,NaN,NaN
2025-03-04T15:08:00-04:00,5845,5847,5844,5845.75,5837.894754,5819.094841,5814.045892,5827.5875,5848.492209,5806.682791,5632,1.499076745,8.487623084,6.988546339,81.10813757,74.04791198,NaN,NaN,NaN,NaN
2025-03-04T15:09:00-04:00,5845.75,5846,5841.75,5842.75,5838.865804,5820.05574,5815.035325,5829.1375,5849.709614,5808.565386,5538,1.165774538,8.445764511,7.279989973,73.95857771,74.50461158,NaN,NaN,NaN,NaN
2025-03-04T15:10:00-04:00,5842.75,5844,5836.5,5838,5838.692643,5820.910892,5815.80192,5830.4875,5849.614363,5811.360637,5728,0.526251162,7.937803926,7.411552764,64.29478386,73.9851252,NaN,NaN,NaN,NaN
2025-03-04T15:11:00-04:00,5837.75,5838,5833.5,5837.75,5838.504114,5821.521217,5816.433995,5831.6375,5849.569646,5813.705354,5561,0.014299217,7.429426785,7.415127568,63.82211026,73.38249881,NaN,NaN,NaN,NaN
2025-03-04T15:12:00-04:00,5837.75,5839.5,5835.5,5838,5838.403291,5822.163317,5817.114923,5832.675,5849.52589,5815.82411,3531,-0.35897982,6.966402793,7.325382613,64.1062871,72.73332704,NaN,NaN,NaN,NaN
2025-03-04T15:13:00-04:00,5838,5840.25,5834.75,5835.5,5837.822633,5822.809269,5817.744747,5833.5,5849.166046,5817.833954,3610,-0.800453847,6.324815304,7.125269151,59.10635288,72.20189169,NaN,NaN,NaN,NaN
2025-03-04T15:14:00-04:00,5835.5,5837.75,5834.75,5837.5,5837.758107,5823.342867,5818.352078,5834.45,5848.592666,5820.307334,2942,-0.972524493,5.909613535,6.882138028,61.68119327,71.71434833,NaN,NaN,NaN,NaN
2025-03-04T15:15:00-04:00,5837.5,5838.25,5834,5835.5,5837.306485,5823.875265,5818.910932,5835.15,5847.984913,5822.315087,3330,-1.219772166,5.357422821,6.577194987,57.76432594,70.761,NaN,NaN,NaN,NaN
2025-03-04T15:16:00-04:00,5835.5,5840,5834.5,5839.5,5837.745188,5824.451148,5819.467685,5835.85,5848.012853,5823.687147,2943,-1.11549212,5.182829837,6.298321957,62.84599531,69.83256734,NaN,NaN,NaN,NaN
2025-03-04T15:17:00-04:00,5839.25,5840.75,5838,5838.5,5837.896151,5825.03325,5820.129553,5836.4625,5847.838214,5825.086786,3188,-1.112893731,4.907204794,6.020098524,60.87409839,68.55627352,NaN,NaN,NaN,NaN
2025-03-04T15:18:00-04:00,5838.25,5842,5837.25,5838.25,5837.96692,5825.639205,5820.740998,5837.0125,5847.588977,5826.436023,3088,-1.123763887,4.615393665,5.739157552,60.36416845,67.48885657,NaN,NaN,NaN,NaN
2025-03-04T15:19:00-04:00,5838,5840.25,5837.75,5839.25,5838.223536,5826.161019,5821.348462,5837.75,5846.659265,5828.840735,2741,-1.060172671,4.413941714,5.474114385,61.74460159,66.47957317,NaN,NaN,NaN,NaN
2025-03-04T15:20:00-04:00,5839,5841.75,5838,5841.75,5838.928829,5826.717769,5821.94316,5838.525,5845.854563,5831.195437,2462,-0.855101221,4.405237858,5.260339079,65.02419368,65.52637679,NaN,NaN,NaN,NaN
2025-03-04T15:21:00-04:00,5841.75,5844,5839.5,5843.5,5839.843063,5827.334991,5822.57019,5839.2625,5845.376981,5833.148019,3560,-0.618017186,4.487817596,5.105834783,67.14734201,64.56015486,NaN,NaN,NaN,NaN
2025-03-04T15:22:00-04:00,5843.5,5845,5841.75,5844.75,5840.824451,5827.965884,5823.255183,5839.7875,5845.893389,5833.681611,2554,-0.403796866,4.601088701,5.004885566,68.61295621,63.6676419,NaN,NaN,NaN,NaN
2025-03-04T15:23:00-04:00,5844.75,5851,5844.25,5850.5,5842.75956,5828.788531,5824.004998,5840.3875,5848.033537,5832.741463,5223,0.072962961,5.096089267,5.023126306,74.29397891,63.69159913,NaN,NaN,NaN,NaN
2025-03-04T15:24:00-04:00,5850.5,5850.5,5845.25,5848.25,5843.857648,5829.563941,5824.763748,5840.95,5849.151524,5832.748476,4317,0.178577317,5.246347953,5.067770636,69.02888269,64.02974905,NaN,NaN,NaN,NaN
2025-03-04T15:25:00-04:00,5848,5851,5848,5850.5,5845.186119,5830.329514,5825.593614,5841.5875,5850.633597,5832.541403,3347,0.332800878,5.483771733,5.150970855,71.22498673,64.55852594,NaN,NaN,NaN,NaN
2025-03-04T15:26:00-04:00,5850.25,5850.25,5838.25,5838.75,5843.898895,5831.04096,5826.045628,5841.4625,5850.592499,5832.332501,5592,-0.384798722,4.669972453,5.054771175,50.91927287,63.61659635,NaN,NaN,NaN,NaN
2025-03-04T15:27:00-04:00,5839,5842.25,5837,5837.5,5842.619116,5831.441283,5826.436855,5841.0875,5850.221605,5831.953395,5335,-0.940259928,3.879446265,4.819706193,49.30875067,62.91676762,NaN,NaN,NaN,NaN
2025-03-04T15:28:00-04:00,5837.25,5842.25,5835.5,5841.75,5842.445293,5831.827309,5826.760539,5840.8875,5849.776362,5831.998638,4876,-1.011837541,3.554909266,4.566746808,54.57002144,62.40882678,NaN,NaN,NaN,NaN
2025-03-04T15:29:00-04:00,5841.75,5841.75,5834.75,5836,5841.156234,5832.181691,5827.045877,5840.55,5849.640655,5831.459345,4679,-1.412244533,2.801441141,4.213685674,47.40173295,61.66864156,NaN,NaN,NaN,NaN
2025-03-04T15:30:00-04:00,5836,5839,5833.5,5838,5840.524987,5832.425202,5827.276381,5840.55,5849.640655,5831.459345,5112,-1.499959726,2.338736016,3.838695743,49.8684499,60.74167403,NaN,NaN,NaN,NaN
2025-03-04T15:31:00-04:00,5838,5838.25,5830.5,5831.25,5838.66999,5832.63323,5827.391511,5840.225,5850.121843,5830.328157,5579,-1.94207343,1.411103955,3.353177385,42.60608634,59.43681603,NaN,NaN,NaN,NaN
2025-03-04T15:32:00-04:00,5831.25,5837.5,5830.5,5836.5,5838.235992,5832.807043,5827.502528,5840.15,5850.135489,5830.164511,5771,-1.812902579,1.087049161,2.89995174,48.84591484,58.61408363,NaN,NaN,NaN,NaN
2025-03-04T15:33:00-04:00,5836.5,5836.75,5830,5831.75,5836.938794,5832.947863,5827.591724,5839.9625,5850.419884,5829.505116,5363,-1.966477653,0.441854674,2.408332327,44.16720882,57.35855558,NaN,NaN,NaN,NaN
2025-03-04T15:34:00-04:00,5831.5,5836,5830.75,5832.75,5836.101035,5833.056868,5827.704519,5839.725,5850.602615,5828.847385,3933,-1.917788168,0.011097117,1.928885285,45.35392686,55.95353652,NaN,NaN,NaN,NaN
2025-03-04T15:35:00-04:00,5832.75,5836,5832.25,5835.75,5836.030828,5833.16198,5827.866858,5839.7375,5850.596223,5828.878777,3355,-1.612869205,-0.087201221,1.525667984,48.86532172,54.64767793,NaN,NaN,NaN,NaN
2025-03-04T15:36:00-04:00,5835.75,5839.75,5833.5,5836.75,5836.174662,5833.397266,5828.068041,5839.6,5850.536636,5828.663364,4471,-1.287294198,-0.083449763,1.203844434,50.01823262,53.31948338,NaN,NaN,NaN,NaN
2025-03-04T15:37:00-04:00,5837,5842.75,5837,5841.5,5837.23973,5833.731293,5828.38704,5839.75,5850.704451,5828.795549,3444,-0.723589318,0.299357787,1.022947105,55.18673905,51.95468054,NaN,NaN,NaN,NaN
2025-03-04T15:38:00-04:00,5841.5,5842,5838.75,5839.5,5837.691784,5834.026604,5828.757146,5839.8125,5850.746249,5828.878751,3095,-0.469299614,0.436322588,0.905622202,52.71496677,50.78940083,NaN,NaN,NaN,NaN
2025-03-04T15:39:00-04:00,5839.5,5842,5839.25,5841.5,5838.453427,5834.311368,5829.13189,5839.925,5850.879565,5828.970435,2678,-0.165935349,0.698203015,0.864138364,54.89079009,49.6226725,NaN,NaN,NaN,NaN
